swnval,pos,neg,neut,yval
1.125,1,1,1,2
0.25,0,1,8,2
1.15625,4,0,10,2
1.225,4,1,9,2
0.958333333333,2,1,9,2
1.125,1,0,4,2
0.95,2,2,11,2
1.4375,2,0,7,2
1.0625,4,4,24,2
1.33333333333,2,1,1,2
1.140625,7,2,10,2
0.9375,1,1,0,2
0.90625,2,3,18,2
1.125,2,0,15,2
1.33333333333,3,1,5,2
1.28125,4,0,12,2
0.642857142857,1,7,14,2
0.604166666667,0,6,2,2
1.1875,1,1,13,2
1.25,2,1,12,2
1,0,0,17,2
1.375,3,0,6,2
1.0,2,2,7,2
0.416666666667,0,4,13,2
1.625,2,0,9,2
1,0,0,4,2
1.1,3,2,16,2
0.791666666667,1,2,4,2
1.1875,4,4,19,2
0.78125,0,3,9,2
1.41666666667,6,1,18,2
1.25,2,0,22,2
0.5,1,3,13,2
1.35,3,2,12,2
1.5,1,0,17,2
0.958333333333,1,2,4,2
1.25,3,1,10,2
0.625,0,2,11,2
1.0,5,3,14,2
1.5625,2,0,17,2
1.375,1,0,1,2
1.28125,2,2,3,2
1.225,4,1,4,2
0.5,0,2,3,2
1.1875,3,1,7,2
1.75,2,0,10,2
0.875,1,3,7,2
1.125,2,1,6,2
1.05,3,1,10,2
1.3125,5,2,20,2
1.08333333333,1,2,12,2
0.375,0,1,6,2
0.666666666667,2,3,7,2
1.046875,6,4,17,2
1.3125,3,0,14,2
1.25,2,0,4,2
1,0,0,1,2
0.375,0,1,5,2
1.0,3,1,15,2
1.09375,6,2,10,2
1.0,4,1,11,2
1.25,4,0,6,2
0.916666666667,3,1,12,2
1.15,5,1,7,2
1.0,2,2,1,2
1.375,4,0,2,2
1.46875,3,1,9,2
0.875,0,1,5,2
1.5625,2,0,9,2
0.958333333333,2,2,11,2
1.22916666667,6,3,7,2
1.07142857143,3,2,24,2
1.375,3,1,6,2
1.25,3,0,5,2
1.25,2,1,13,2
1.125,1,1,10,2
1.125,3,1,8,2
1.09375,3,1,7,2
1.125,1,0,2,2
0.6875,0,1,9,2
1.125,2,3,14,2
1.08333333333,2,1,12,2
0.375,1,2,7,2
1.1,6,3,16,2
1.125,1,2,4,2
1.25,1,0,10,2
1.58333333333,4,0,9,2
1.08333333333,3,1,8,2
1.0,2,2,7,2
1.10416666667,4,2,2,2
1.18055555556,6,2,3,2
1.28125,4,1,20,2
1.0,2,5,9,2
1.575,5,0,12,2
0.75,2,1,6,2
1.375,3,3,5,2
1.5,3,1,7,2
1.34375,4,0,4,2
1.4375,3,0,2,2
1.875,2,0,2,2
0.9375,2,1,8,2
1.0625,5,2,14,2
0.6875,0,2,3,2
1.40625,4,0,15,2
1.015625,5,5,15,2
1.1875,4,2,12,2
0.25,0,2,4,2
0.95,2,3,6,2
1.75,1,0,5,2
1,0,1,3,2
1.375,1,0,8,2
1.125,2,0,25,2
1,0,0,4,2
1.75,1,0,5,2
1.6875,2,0,11,2
1.0,2,2,11,2
0.96875,5,5,17,2
1.0,2,1,9,2
0.9,3,6,13,2
1.5,3,0,8,2
1.16666666667,3,1,10,2
0.9,2,3,17,2
0.791666666667,0,2,23,2
1,1,1,16,2
1.4375,3,1,8,2
0.8125,1,3,12,2
1.125,2,1,11,2
1.16666666667,5,1,12,2
1.075,3,3,10,2
1.20833333333,3,0,5,2
1.125,3,1,7,2
1.5,1,0,3,2
1.3125,6,1,18,2
0.375,0,2,3,2
1.25,3,0,1,2
1.125,1,0,6,2
1.25,2,1,11,2
1.125,3,1,14,2
1.25,1,0,19,2
1.6875,2,0,14,2
1.25,4,1,7,2
0.8125,1,1,13,2
1,0,0,5,2
0.875,0,1,21,2
0.875,3,2,7,2
1.375,1,0,1,2
0.5,0,3,1,2
1.5,2,0,10,2
1,0,0,6,2
0.958333333333,2,2,12,2
0.708333333333,1,2,9,2
1.0,2,2,10,2
1.375,3,0,17,2
0.875,2,3,17,2
1.04166666667,2,4,8,2
